Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"6.6200","65.3971","152.8618","95.6098","2.2513"
"6.6400","65.5971","153.1503","95.9022","2.2555"
"6.6600","65.7971","153.2863","96.1946","2.2575"
"6.6800","65.9972","153.4780","96.4871","2.2604"
"6.7000","66.1972","153.7945","96.7795","2.2650"
"6.7200","66.3971","154.0072","97.0718","2.2681"
"6.7400","66.5971","154.3263","97.3642","2.2728"
"6.7600","66.7971","154.5641","97.6566","2.2763"
"6.7800","66.9971","154.6671","97.9490","2.2779"
"6.8000","67.1971","154.8243","98.2414","2.2802"
"6.8200","67.3971","155.0181","98.5338","2.2830"
"6.8400","67.5971","155.2300","98.8262","2.2862"
"6.8600","67.7971","155.5314","99.1186","2.2906"
"6.8800","67.9971","155.7907","99.4110","2.2944"
"6.9000","68.1971","156.0137","99.7033","2.2977"
"6.9200","68.3971","156.2859","99.9957","2.3017"
"6.9400","68.5971","156.4724","100.2882","2.3045"
"6.9600","68.7972","156.6059","100.5806","2.3064"
"6.9800","68.9972","156.8454","100.8731","2.3099"
"7.0000","69.1972","157.0636","101.1655","2.3132"
"7.0200","69.3972","157.3654","101.4578","2.3176"
"7.0400","69.5972","157.5902","101.7502","2.3209"
"7.0600","69.7972","157.7224","102.0426","2.3229"
"7.0800","69.9972","157.9429","102.3350","2.3261"
"7.1000","70.1971","158.2194","102.6274","2.3302"
"7.1200","70.3972","158.4490","102.9198","2.3336"
"7.1400","70.5972","158.6810","103.2122","2.3370"
"7.1600","70.7972","158.8844","103.5046","2.3400"
"7.1800","70.9971","159.0043","103.7970","2.3417"
"7.2000","71.1971","159.1704","104.0893","2.3442"
"7.2200","71.3971","159.4607","104.3817","2.3485"
"7.2400","71.5971","159.7159","104.6742","2.3522"
"7.2600","71.7971","159.9045","104.9665","2.3550"
"7.2800","71.9971","160.1614","105.2589","2.3588"
"7.3000","72.1971","160.2810","105.5513","2.3605"
"7.3200","72.3971","160.5254","105.8437","2.3641"
"7.3400","72.5971","160.6664","106.1361","2.3662"
"7.3600","72.7970","160.8474","106.4284","2.3689"
"7.3800","72.9971","161.1465","106.7208","2.3733"
"7.4000","73.1971","161.3329","107.0133","2.3760"
"7.4200","73.3972","161.4732","107.3058","2.3781"
"7.4400","73.5972","161.8334","107.5982","2.3834"
"7.4600","73.7972","162.0540","107.8906","2.3867"
"7.4800","73.9972","162.2312","108.1830","2.3893"
"7.5000","74.1972","162.3962","108.4754","2.3917"
"7.5200","74.3972","162.5558","108.7678","2.3940"
"7.5400","74.5972","162.8378","109.0602","2.3982"
"7.5600","74.7972","163.0616","109.3526","2.4015"
"7.5800","74.9972","163.3084","109.6450","2.4051"
"7.6000","75.1972","163.5172","109.9374","2.4082"
"7.6200","75.3972","163.6766","110.2298","2.4106"
"7.6400","75.5972","163.7583","110.5222","2.4118"
"7.6600","75.7971","164.0518","110.8145","2.4161"
"7.6800","75.9971","164.3570","111.1069","2.4206"
"7.7000","76.1971","164.4601","111.3993","2.4221"
"7.7200","76.3971","164.6395","111.6917","2.4247"
"7.7400","76.5971","164.8058","111.9841","2.4272"
"7.7600","76.7971","165.0825","112.2765","2.4313"
"7.7800","76.9971","165.2880","112.5689","2.4343"
"7.8000","77.1971","165.4195","112.8612","2.4362"
"7.8200","77.3970","165.6083","113.1536","2.4390"
"7.8400","77.5971","165.8624","113.4460","2.4427"
"7.8600","77.7971","166.1064","113.7384","2.4463"
"7.8800","77.9971","166.2428","114.0309","2.4483"
"7.9000","78.1972","166.4190","114.3233","2.4509"
"7.9200","78.3972","166.6121","114.6157","2.4538"
"7.9400","78.5972","166.9718","114.9082","2.4591"
"7.9600","78.7972","167.1205","115.2006","2.4613"
"7.9800","78.9971","167.2008","115.4929","2.4625"
"8.0000","79.1971","167.3976","115.7853","2.4654"
"8.0200","79.3971","167.6434","116.0777","2.4690"
"8.0400","79.5972","167.8095","116.3701","2.4714"
"8.0600","79.7972","168.0362","116.6625","2.4748"
"8.0800","79.9972","168.2001","116.9549","2.4772"
"8.1000","80.1972","168.4027","117.2473","2.4802"
"8.1200","80.3972","168.6895","117.5397","2.4844"
"8.1400","80.5972","168.7947","117.8321","2.4859"
"8.1600","80.7971","168.9169","118.1245","2.4877"
"8.1800","80.9971","169.1773","118.4169","2.4916"
"8.2000","81.1972","169.4519","118.7093","2.4956"
"8.2200","81.3972","169.6605","119.0017","2.4987"
"8.2400","81.5972","169.8207","119.2941","2.5010"
"8.2600","81.7971","170.0258","119.5864","2.5041"
"8.2800","81.9971","170.2386","119.8788","2.5072"
"8.3000","82.1971","170.3066","120.1712","2.5082"
"8.3200","82.3970","170.4775","120.4635","2.5107"
"8.3400","82.5970","170.7573","120.7559","2.5148"
"8.3600","82.7970","171.0536","121.0483","2.5192"
"8.3800","82.9971","171.1706","121.3408","2.5209"
"8.4000","83.1972","171.4265","121.6333","2.5247"
"8.4200","83.3972","171.5709","121.9257","2.5268"
"8.4400","83.5972","171.7387","122.2181","2.5293"
"8.4600","83.7972","171.9791","122.5105","2.5328"
"8.4800","83.9972","172.1677","122.8029","2.5356"
"8.5000","84.1972","172.3651","123.0953","2.5385"
"8.5200","84.3972","172.4694","123.3877","2.5400"
"8.5400","84.5972","172.6313","123.6801","2.5424"
"8.5600","84.7972","172.7924","123.9725","2.5448"
"8.5800","84.9972","172.9971","124.2649","2.5478"
"8.6000","85.1972","173.3432","124.5573","2.5529"
"8.6200","85.3971","173.5503","124.8496","2.5560"
"8.6400","85.5971","173.7229","125.1419","2.5585"
"8.6600","85.7971","173.8400","125.4343","2.5602"
"8.6800","85.9971","174.0168","125.7268","2.5628"
"8.7000","86.1971","174.1952","126.0192","2.5655"
"8.7200","86.3971","174.3679","126.3116","2.5680"
"8.7400","86.5972","174.5688","126.6040","2.5710"
"8.7600","86.7971","174.6951","126.8964","2.5728"
"8.7800","86.9971","174.9201","127.1887","2.5761"
"8.8000","87.1971","175.0910","127.4811","2.5787"
"8.8200","87.3970","175.1945","127.7735","2.5802"
"8.8400","87.5971","175.3747","128.0659","2.5828"
"8.8600","87.7971","175.6407","128.3583","2.5868"
"8.8800","87.9971","175.8181","128.6508","2.5894"
"8.9000","88.1972","176.0068","128.9432","2.5921"
"8.9200","88.3972","176.1835","129.2356","2.5947"
"8.9400","88.5972","176.3556","129.5280","2.5973"
"8.9600","88.7971","176.5538","129.8204","2.6002"
"8.9800","88.9971","176.7985","130.1127","2.6038"
"9.0000","89.1971","177.0685","130.4052","2.6078"
"9.0200","89.3972","177.1315","130.6976","2.6087"
"9.0400","89.5972","177.3097","130.9901","2.6113"
"9.0600","89.7972","177.5613","131.2824","2.6150"
"9.0800","89.9972","177.7229","131.5748","2.6174"
"9.1000","90.1971","177.8992","131.8672","2.6200"
"9.1200","90.3971","178.1069","132.1595","2.6231"
"9.1400","90.5971","178.2506","132.4519","2.6252"
"9.1600","90.7971","178.3694","132.7443","2.6269"
"9.1800","90.9971","178.6411","133.0368","2.6309"
"9.2000","91.1972","178.8367","133.3292","2.6338"
"9.2200","91.3972","179.0354","133.6216","2.6368"
"9.2400","91.5972","179.1303","133.9140","2.6381"
"9.2600","91.7971","179.2384","134.2063","2.6397"
"9.2800","91.9971","179.5088","134.4987","2.6437"
"9.3000","92.1971","179.6996","134.7911","2.6465"
"9.3200","92.3971","179.7861","135.0835","2.6478"
"9.3400","92.5971","179.9471","135.3759","2.6502"
"9.3600","92.7971","180.0473","135.6683","2.6517"
"9.3800","92.9971","180.3621","135.9607","2.6563"
"9.4000","93.1971","180.5104","136.2531","2.6585"
"9.4200","93.3971","180.6950","136.5455","2.6612"
"9.4400","93.5971","180.9042","136.8379","2.6643"
"9.4600","93.7971","181.0806","137.1303","2.6669"
"9.4800","93.9971","181.2005","137.4227","2.6686"
"9.5000","94.1972","181.3002","137.7151","2.6701"
"9.5200","94.3972","181.5033","138.0076","2.6731"
"9.5400","94.5972","181.6930","138.3000","2.6759"
"9.5600","94.7972","181.9040","138.5924","2.6790"
"9.5800","94.9972","182.1100","138.8848","2.6820"
"9.6000","95.1972","182.3540","139.1771","2.6856"
"9.6200","95.3971","182.4945","139.4695","2.6877"
"9.6400","95.5972","182.6351","139.7619","2.6898"
"9.6600","95.7972","182.8296","140.0543","2.6926"
"9.6800","95.9971","182.9627","140.3467","2.6946"
"9.7000","96.1971","183.2022","140.6391","2.6981"
"9.7200","96.3971","183.4178","140.9315","2.7013"
"9.7400","96.5971","183.5559","141.2239","2.7033"
"9.7600","96.7971","183.6563","141.5162","2.7048"
"9.7800","96.9971","183.9522","141.8086","2.7092"
"9.8000","97.1971","184.1965","142.1010","2.7128"
"9.8200","97.3971","184.2406","142.3934","2.7134"
"9.8400","97.5971","184.3932","142.6858","2.7157"
"9.8600","97.7971","184.6343","142.9782","2.7192"
