Force,Compressive stress,Compressive strain (Displacement)
(N),(MPa),(%)
"0.6283","0.0001","230661273600.0000"
"0.6414","0.0001","231660800000.0000"
"0.6553","0.0001","232660249600.0000"
"0.6694","0.0001","233659622400.0000"
"0.6829","0.0001","234658944000.0000"
"0.6954","0.0001","235658188800.0000"
"0.7068","0.0001","236657382400.0000"
"0.7175","0.0001","237656524800.0000"
"0.7275","0.0001","238655616000.0000"
"0.7368","0.0001","239654707200.0000"
"0.7455","0.0001","240653747200.0000"
"0.7536","0.0001","241652761600.0000"
"0.7612","0.0001","242651750400.0000"
"0.7688","0.0001","243650764800.0000"
"0.7766","0.0001","244649753600.0000"
"0.7843","0.0001","245648691200.0000"
"0.7918","0.0001","246647705600.0000"
"0.7989","0.0001","247646694400.0000"
"0.8053","0.0001","248645734400.0000"
"0.8104","0.0001","249644774400.0000"
"0.8138","0.0001","250643865600.0000"
"0.8155","0.0001","251642982400.0000"
"0.8159","0.0001","252642124800.0000"
"0.8156","0.0001","253641267200.0000"
"0.8146","0.0001","254640512000.0000"
"0.8136","0.0001","255639833600.0000"
"0.8136","0.0001","256639129600.0000"
"0.8155","0.0001","257638425600.0000"
"0.8197","0.0001","258637849600.0000"
"0.8257","0.0001","259637248000.0000"
"0.8327","0.0001","260636723200.0000"
"0.8401","0.0001","261636172800.0000"
"0.8472","0.0001","262635699200.0000"
"0.8534","0.0001","263635251200.0000"
"0.8592","0.0001","264634880000.0000"
"0.8647","0.0001","265634508800.0000"
"0.8702","0.0001","266634163200.0000"
"0.8753","0.0001","267633894400.0000"
"0.8797","0.0001","268633651200.0000"
"0.8833","0.0001","269633459200.0000"
"0.8863","0.0001","270633318400.0000"
"0.8893","0.0001","271633254400.0000"
"0.8929","0.0001","272633190400.0000"
"0.8980","0.0001","273633280000.0000"
"0.9048","0.0001","274633344000.0000"
"0.9137","0.0001","275633484800.0000"
"0.9246","0.0001","276633676800.0000"
"0.9370","0.0001","277633971200.0000"
"0.9505","0.0001","278634265600.0000"
"0.9652","0.0001","279634636800.0000"
"0.9809","0.0001","280635008000.0000"
"0.9974","0.0001","281635430400.0000"
"1.0133","0.0001","282635904000.0000"
"1.0280","0.0001","283636428800.0000"
"1.0408","0.0001","284636928000.0000"
"1.0510","0.0001","285637504000.0000"
"1.0589","0.0001","286638105600.0000"
"1.0656","0.0001","287638681600.0000"
"1.0728","0.0001","288639283200.0000"
"1.0814","0.0001","289639936000.0000"
"1.0915","0.0001","290640588800.0000"
"1.1027","0.0001","291641216000.0000"
"1.1145","0.0001","292641945600.0000"
"1.1267","0.0001","293642624000.0000"
"1.1392","0.0001","294643328000.0000"
"1.1514","0.0001","295644083200.0000"
"1.1626","0.0001","296644838400.0000"
"1.1722","0.0001","297645619200.0000"
"1.1795","0.0001","298646425600.0000"
"1.1840","0.0001","299647232000.0000"
"1.1859","0.0001","300648115200.0000"
"1.1856","0.0001","301648972800.0000"
"1.1838","0.0001","302649856000.0000"
"1.1813","0.0001","303650739200.0000"
"1.1786","0.0001","304651648000.0000"
"1.1766","0.0001","305652556800.0000"
"1.1759","0.0001","306653465600.0000"
"1.1774","0.0001","307654348800.0000"
"1.1818","0.0001","308655232000.0000"
"1.1890","0.0001","309656089600.0000"
"1.1985","0.0001","310656921600.0000"
"1.2088","0.0001","311657753600.0000"
"1.2190","0.0001","312658585600.0000"
"1.2283","0.0002","313659340800.0000"
"1.2371","0.0002","314660096000.0000"
"1.2460","0.0002","315660825600.0000"
"1.2551","0.0002","316661555200.0000"
"1.2642","0.0002","317662259200.0000"
"1.2730","0.0002","318662937600.0000"
"1.2817","0.0002","319663641600.0000"
"1.2903","0.0002","320664294400.0000"
"1.2986","0.0002","321664947200.0000"
"1.3059","0.0002","322665548800.0000"
"1.3121","0.0002","323666201600.0000"
"1.3174","0.0002","324666828800.0000"
"1.3224","0.0002","325667379200.0000"
"1.3275","0.0002","326667980800.0000"
"1.3331","0.0002","327668556800.0000"
"1.3393","0.0002","328669107200.0000"
"1.3453","0.0002","329669657600.0000"
"1.3510","0.0002","330670156800.0000"
"1.3562","0.0002","331670604800.0000"
"1.3613","0.0002","332671052800.0000"
"1.3655","0.0002","333671449600.0000"
"1.3686","0.0002","334671846400.0000"
"1.3704","0.0002","335672192000.0000"
"1.3719","0.0002","336672537600.0000"
"1.3740","0.0002","337672832000.0000"
"1.3773","0.0002","338673100800.0000"
"1.3816","0.0002","339673369600.0000"
"1.3868","0.0002","340673587200.0000"
"1.3928","0.0002","341673779200.0000"
"1.3992","0.0002","342673945600.0000"
"1.4055","0.0002","343674137600.0000"
"1.4112","0.0002","344674304000.0000"
"1.4163","0.0002","345674470400.0000"
"1.4210","0.0002","346674611200.0000"
"1.4257","0.0002","347674777600.0000"
"1.4307","0.0002","348674918400.0000"
"1.4365","0.0002","349675059200.0000"
"1.4431","0.0002","350675200000.0000"
"1.4509","0.0002","351675340800.0000"
"1.4597","0.0002","352675481600.0000"
"1.4693","0.0002","353675622400.0000"
"1.4790","0.0002","354675737600.0000"
"1.4884","0.0002","355675827200.0000"
"1.4968","0.0002","356675916800.0000"
"1.5039","0.0002","357676006400.0000"
"1.5098","0.0002","358676096000.0000"
"1.5146","0.0002","359676108800.0000"
"1.5185","0.0002","360676147200.0000"
"1.5219","0.0002","361676185600.0000"
"1.5248","0.0002","362676172800.0000"
"1.5271","0.0002","363676211200.0000"
"1.5287","0.0002","364676172800.0000"
"1.5291","0.0002","365676185600.0000"
"1.5283","0.0002","366676172800.0000"
"1.5269","0.0002","367676160000.0000"
"1.5260","0.0002","368676121600.0000"
"1.5262","0.0002","369676134400.0000"
"1.5279","0.0002","370676121600.0000"
"1.5311","0.0002","371676160000.0000"
"1.5361","0.0002","372676172800.0000"
"1.5426","0.0002","373676160000.0000"
"1.5500","0.0002","374676224000.0000"
"1.5577","0.0002","375676262400.0000"
"1.5653","0.0002","376676249600.0000"
"1.5727","0.0002","377676339200.0000"
"1.5797","0.0002","378676352000.0000"
"1.5865","0.0002","379676364800.0000"
"1.5935","0.0002","380676377600.0000"
"1.6008","0.0002","381676390400.0000"
"1.6087","0.0002","382676377600.0000"
"1.6176","0.0002","383676339200.0000"
"1.6276","0.0002","384676300800.0000"
"1.6387","0.0002","385676288000.0000"
"1.6509","0.0002","386676198400.0000"
"1.6642","0.0002","387676108800.0000"
"1.6781","0.0002","388676044800.0000"
"1.6919","0.0002","389675955200.0000"
"1.7053","0.0002","390675865600.0000"
"1.7176","0.0002","391675827200.0000"
"1.7287","0.0002","392675737600.0000"
"1.7382","0.0002","393675648000.0000"
"1.7459","0.0002","394675635200.0000"
"1.7518","0.0002","395675571200.0000"
"1.7561","0.0002","396675532800.0000"
"1.7591","0.0002","397675494400.0000"
"1.7617","0.0002","398675507200.0000"
"1.7644","0.0002","399675468800.0000"
"1.7675","0.0002","400675456000.0000"
"1.7709","0.0002","401675417600.0000"
"1.7749","0.0002","402675456000.0000"
"1.7796","0.0002","403675468800.0000"
"1.7850","0.0002","404675456000.0000"
"1.7911","0.0002","405675417600.0000"
"1.7976","0.0002","406675404800.0000"
"1.8042","0.0002","407675315200.0000"
"1.8109","0.0002","408675251200.0000"
"1.8178","0.0002","409675238400.0000"
"1.8247","0.0002","410675097600.0000"
"1.8309","0.0002","411675033600.0000"
"1.8365","0.0002","412674969600.0000"
"1.8413","0.0002","413674880000.0000"
"1.8449","0.0002","414674713600.0000"
"1.8479","0.0002","415674649600.0000"
"1.8514","0.0002","416674585600.0000"
"1.8559","0.0002","417674547200.0000"
"1.8614","0.0002","418674432000.0000"
"1.8676","0.0002","419674419200.0000"
"1.8745","0.0002","420674380800.0000"
"1.8819","0.0002","421674316800.0000"
"1.8894","0.0002","422674278400.0000"
"1.8971","0.0002","423674316800.0000"
"1.9046","0.0002","424674227200.0000"
"1.9118","0.0002","425674265600.0000"
"1.9183","0.0002","426674278400.0000"
"1.9247","0.0002","427674265600.0000"
"1.9312","0.0002","428674227200.0000"
"1.9378","0.0002","429674240000.0000"
"1.9446","0.0002","430674227200.0000"
"1.9522","0.0002","431674163200.0000"
"1.9611","0.0002","432674150400.0000"
"1.9711","0.0002","433674086400.0000"
"1.9820","0.0002","434674022400.0000"
"1.9939","0.0002","435673958400.0000"
"2.0062","0.0002","436673945600.0000"
"2.0183","0.0002","437673881600.0000"
"2.0293","0.0002","438673817600.0000"
"2.0392","0.0003","439673753600.0000"
"2.0484","0.0003","440673740800.0000"
"2.0577","0.0003","441673676800.0000"
"2.0675","0.0003","442673766400.0000"
"2.0778","0.0003","443673753600.0000"
"2.0881","0.0003","444673740800.0000"
"2.0981","0.0003","445673830400.0000"
"2.1079","0.0003","446673817600.0000"
"2.1181","0.0003","447673907200.0000"
"2.1292","0.0003","448673996800.0000"
"2.1411","0.0003","449674086400.0000"
"2.1530","0.0003","450674124800.0000"
"2.1648","0.0003","451674214400.0000"
"2.1762","0.0003","452674355200.0000"
"2.1871","0.0003","453674393600.0000"
"2.1980","0.0003","454674483200.0000"
"2.2092","0.0003","455674572800.0000"
"2.2209","0.0003","456674611200.0000"
"2.2328","0.0003","457674649600.0000"
